"source_census","county_cd","pk_gndr","cd_race","age_grouping_cd","measurement_year","pop_cnt"
"2000",2,0,4,2,"2000",0
"2000",2,0,4,3,"2000",0
"2000",2,0,4,4,"2000",0
"2000",2,0,5,0,"2000",4953.5
"2000",2,0,5,1,"2000",1323.97
"2000",2,0,5,2,"2000",1366.04
"2000",2,0,5,3,"2000",1353.04
"2000",2,0,5,4,"2000",910.46
"2000",2,0,8,0,"2000",138.35
"2000",2,0,8,1,"2000",47.03
"2000",2,0,8,2,"2000",37.98
"2000",2,0,8,3,"2000",31.98
"2000",2,0,8,4,"2000",21.38
"2000",2,0,9,0,"2000",183
"2000",2,0,9,1,"2000",83.03
"2000",2,0,9,2,"2000",41.98
"2000",2,0,9,3,"2000",42.02
"2000",2,0,9,4,"2000",15.98
"2000",2,0,10,0,"2000",247.52
"2000",2,0,10,1,"2000",67
"2000",2,0,10,2,"2000",68.99
"2000",2,0,10,3,"2000",64.02
"2000",2,0,10,4,"2000",47.5
"2000",2,0,11,0,"2000",4795.52
"2000",2,0,11,1,"2000",1251.96
"2000",2,0,11,2,"2000",1328.06
"2000",2,0,11,3,"2000",1318.03
"2000",2,0,11,4,"2000",897.48
"2000",2,0,12,0,"2000",14.96
"2000",2,0,12,1,"2000",4.02
"2000",2,0,12,2,"2000",4.98
"2000",2,0,12,3,"2000",3.93
"2000",2,0,12,4,"2000",2.04
"2000",2,0,NA,0,"2000",5241
"2000",2,0,NA,1,"2000",1406
"2000",2,0,NA,2,"2000",1443.99
"2000",2,0,NA,3,"2000",1428
"2000",2,0,NA,4,"2000",963
"2000",2,1,0,0,"2000",2537
"2000",2,1,0,1,"2000",655
"2000",2,1,0,2,"2000",686
"2000",2,1,0,3,"2000",690
"2000",2,1,0,4,"2000",506
"2000",2,1,1,0,"2000",51.88
"2000",2,1,1,1,"2000",11
"2000",2,1,1,2,"2000",14.98
"2000",2,1,1,3,"2000",19.01
"2000",2,1,1,4,"2000",6.88
"2000",2,1,2,0,"2000",14.04
"2000",2,1,2,1,"2000",2
"2000",2,1,2,2,"2000",1.02
"2000",2,1,2,3,"2000",6.05
"2000",2,1,2,4,"2000",4.98
"2000",2,1,3,0,"2000",3.94
"2000",2,1,3,1,"2000",1.01
"2000",2,1,3,2,"2000",0
"2000",2,1,3,3,"2000",1.93
"2000",2,1,3,4,"2000",1
"2000",2,1,4,0,"2000",0
"2000",2,1,4,1,"2000",0
"2000",2,1,4,2,"2000",0
"2000",2,1,4,3,"2000",0
"2000",2,1,4,4,"2000",0
"2000",2,1,5,0,"2000",2405.07
"2000",2,1,5,1,"2000",618.97
"2000",2,1,5,2,"2000",651.99
"2000",2,1,5,3,"2000",648.99
"2000",2,1,5,4,"2000",485.11
"2000",2,1,8,0,"2000",62.07
"2000",2,1,8,1,"2000",22.02
"2000",2,1,8,2,"2000",18.01
"2000",2,1,8,3,"2000",14.01
"2000",2,1,8,4,"2000",8.03
"2000",2,1,9,0,"2000",81.99
"2000",2,1,9,1,"2000",32.98
"2000",2,1,9,2,"2000",24
"2000",2,1,9,3,"2000",19.01
"2000",2,1,9,4,"2000",6
"2000",2,1,10,0,"2000",117.97
"2000",2,1,10,1,"2000",31.01
"2000",2,1,10,2,"2000",30.01
"2000",2,1,10,3,"2000",38.07
